timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731096437134,304,CARGA,200,OK,Thread Group 1-1,text,true,,3143,370,1,3,https://reqres.in/api/users?page=2,121,0,61
1731096437134,121,CARGA-0,301,Moved Permanently,Thread Group 1-1,text,true,,970,185,1,3,http://reqres.in/api/users?page=2,121,0,61
1731096437255,183,CARGA-1,200,OK,Thread Group 1-1,text,true,,2173,185,1,3,https://reqres.in/api/users?page=2,183,0,113
1731096438134,276,CARGA,200,OK,Thread Group 1-2,text,true,,3151,370,1,11,https://reqres.in/api/users?page=2,123,0,49
1731096438134,123,CARGA-0,301,Moved Permanently,Thread Group 1-2,text,true,,970,185,1,11,http://reqres.in/api/users?page=2,123,0,49
1731096438257,153,CARGA-1,200,OK,Thread Group 1-2,text,true,,2181,185,1,11,https://reqres.in/api/users?page=2,153,0,93
1731096439133,243,CARGA,200,OK,Thread Group 1-3,text,true,,3154,370,1,11,https://reqres.in/api/users?page=2,106,0,50
1731096439133,106,CARGA-0,301,Moved Permanently,Thread Group 1-3,text,true,,972,185,1,11,http://reqres.in/api/users?page=2,106,0,50
1731096439239,137,CARGA-1,200,OK,Thread Group 1-3,text,true,,2182,185,1,11,https://reqres.in/api/users?page=2,137,0,81
1731096440133,222,CARGA,200,OK,Thread Group 1-4,text,true,,3150,370,1,11,https://reqres.in/api/users?page=2,88,0,39
1731096440133,88,CARGA-0,301,Moved Permanently,Thread Group 1-4,text,true,,968,185,1,11,http://reqres.in/api/users?page=2,88,0,39
1731096440222,133,CARGA-1,200,OK,Thread Group 1-4,text,true,,2182,185,1,11,https://reqres.in/api/users?page=2,133,0,83
1731096441135,257,CARGA,200,OK,Thread Group 1-5,text,true,,3141,370,1,11,https://reqres.in/api/users?page=2,90,0,40
1731096441135,90,CARGA-0,301,Moved Permanently,Thread Group 1-5,text,true,,968,185,1,11,http://reqres.in/api/users?page=2,90,0,40
1731096441225,167,CARGA-1,200,OK,Thread Group 1-5,text,true,,2173,185,1,11,https://reqres.in/api/users?page=2,167,0,102
1731096446141,2306,CARGA,200,OK,Thread Group 1-10,text,true,,3141,370,7,117,https://reqres.in/api/users?page=2,1112,0,1050
1731096446141,1112,CARGA-0,301,Moved Permanently,Thread Group 1-10,text,true,,968,185,7,117,http://reqres.in/api/users?page=2,1112,0,1050
1731096447254,1193,CARGA-1,200,OK,Thread Group 1-10,text,true,,2173,185,7,117,https://reqres.in/api/users?page=2,1193,0,1127
1731096447143,3269,CARGA,200,OK,Thread Group 1-11,text,true,,3155,370,8,118,https://reqres.in/api/users?page=2,98,0,40
1731096447143,98,CARGA-0,301,Moved Permanently,Thread Group 1-11,text,true,,974,185,8,118,http://reqres.in/api/users?page=2,98,0,40
1731096447241,3171,CARGA-1,200,OK,Thread Group 1-11,text,true,,2181,185,8,118,https://reqres.in/api/users?page=2,3171,0,3110
1731096448136,15282,CARGA,200,OK,Thread Group 1-12,text,true,,3152,370,20,280,https://reqres.in/api/users?page=2,94,0,40
1731096448136,94,CARGA-0,301,Moved Permanently,Thread Group 1-12,text,true,,970,185,20,280,http://reqres.in/api/users?page=2,94,0,40
1731096448230,15188,CARGA-1,200,OK,Thread Group 1-12,text,true,,2182,185,20,280,https://reqres.in/api/users?page=2,15188,0,15120
1731096459134,7299,CARGA,200,OK,Thread Group 1-23,text,true,,3143,370,22,282,https://reqres.in/api/users?page=2,7129,0,7071
1731096459134,7130,CARGA-0,301,Moved Permanently,Thread Group 1-23,text,true,,970,185,22,282,http://reqres.in/api/users?page=2,7129,0,7071
1731096466264,169,CARGA-1,200,OK,Thread Group 1-23,text,true,,2173,185,22,282,https://reqres.in/api/users?page=2,169,0,106
1731096445135,25314,CARGA,200,OK,Thread Group 1-9,text,true,,3155,370,25,335,https://reqres.in/api/users?page=2,1094,0,1045
1731096445135,1094,CARGA-0,301,Moved Permanently,Thread Group 1-9,text,true,,974,185,25,335,http://reqres.in/api/users?page=2,1094,0,1045
1731096446230,24219,CARGA-1,200,OK,Thread Group 1-9,text,true,,2181,185,25,335,https://reqres.in/api/users?page=2,24219,0,24152
1731096477134,3308,CARGA,200,OK,Thread Group 1-41,text,true,,3147,370,34,444,https://reqres.in/api/users?page=2,127,0,41
1731096477134,127,CARGA-0,301,Moved Permanently,Thread Group 1-41,text,true,,966,185,34,444,http://reqres.in/api/users?page=2,127,0,41
1731096477262,3180,CARGA-1,200,OK,Thread Group 1-41,text,true,,2181,185,34,444,https://reqres.in/api/users?page=2,3180,0,3112
1731096482136,7313,CARGA,200,OK,Thread Group 1-46,text,true,,3154,370,42,550,https://reqres.in/api/users?page=2,114,0,39
1731096482136,114,CARGA-0,301,Moved Permanently,Thread Group 1-46,text,true,,972,185,42,550,http://reqres.in/api/users?page=2,114,0,39
1731096482251,7198,CARGA-1,200,OK,Thread Group 1-46,text,true,,2182,185,42,550,https://reqres.in/api/users?page=2,7198,0,7117
1731096442134,63124,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-6,text,false,,2660,0,57,538,http://reqres.in/api/users?page=2,0,0,63124
1731096443135,63117,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-7,text,false,,2660,0,57,522,http://reqres.in/api/users?page=2,0,0,63117
1731096444134,63112,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-8,text,false,,2660,0,57,521,http://reqres.in/api/users?page=2,0,0,63112
1731096449136,63102,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-13,text,false,,2660,0,61,484,http://reqres.in/api/users?page=2,0,0,63102
1731096450137,63129,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-14,text,false,,2660,0,61,478,http://reqres.in/api/users?page=2,0,0,63129
1731096451133,63129,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-15,text,false,,2660,0,61,475,http://reqres.in/api/users?page=2,0,0,63129
1731096452134,63126,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-16,text,false,,2660,0,61,474,http://reqres.in/api/users?page=2,0,0,63126
1731096453134,63135,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-17,text,false,,2660,0,61,453,http://reqres.in/api/users?page=2,0,0,63135
1731096454134,63141,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-18,text,false,,2660,0,61,445,http://reqres.in/api/users?page=2,0,0,63141
1731096455136,63109,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-19,text,false,,2660,0,61,436,http://reqres.in/api/users?page=2,0,0,63109
1731096456135,63123,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-20,text,false,,2660,0,61,433,http://reqres.in/api/users?page=2,0,0,63123
1731096457135,63141,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-21,text,false,,2660,0,61,429,http://reqres.in/api/users?page=2,0,0,63141
1731096462135,63098,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-26,text,false,,2660,0,65,391,http://reqres.in/api/users?page=2,0,0,63098
1731096463134,63132,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-27,text,false,,2660,0,65,361,http://reqres.in/api/users?page=2,0,0,63132
1731096464134,63076,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-28,text,false,,2660,0,65,358,http://reqres.in/api/users?page=2,0,0,63076
1731096465136,63124,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-29,text,false,,2660,0,65,354,http://reqres.in/api/users?page=2,0,0,63124
1731096466135,63115,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-30,text,false,,2660,0,65,351,http://reqres.in/api/users?page=2,0,0,63115
1731096467135,63137,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-31,text,false,,2660,0,65,345,http://reqres.in/api/users?page=2,0,0,63137
1731096468134,63154,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-32,text,false,,2660,0,65,317,http://reqres.in/api/users?page=2,0,0,63154
1731096469136,63149,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-33,text,false,,2660,0,65,308,http://reqres.in/api/users?page=2,0,0,63149
1731096470133,63115,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-34,text,false,,2660,0,65,303,http://reqres.in/api/users?page=2,0,0,63115
1731096490134,43341,CARGA,200,OK,Thread Group 1-54,text,true,,3153,370,64,301,https://reqres.in/api/users?page=2,7144,0,7083
1731096490134,7144,CARGA-0,301,Moved Permanently,Thread Group 1-54,text,true,,972,185,64,301,http://reqres.in/api/users?page=2,7144,0,7083
1731096497279,36196,CARGA-1,200,OK,Thread Group 1-54,text,true,,2181,185,64,301,https://reqres.in/api/users?page=2,36196,0,36134
1731096471135,63101,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-35,text,false,,2660,0,64,295,http://reqres.in/api/users?page=2,0,0,63101
1731096472134,63144,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-36,text,false,,2660,0,64,293,http://reqres.in/api/users?page=2,0,0,63144
1731096473135,63112,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-37,text,false,,2660,0,64,270,http://reqres.in/api/users?page=2,0,0,63112
1731096474135,63115,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-38,text,false,,2660,0,63,263,http://reqres.in/api/users?page=2,0,0,63115
